"Run","BuildId","BuildGuid","ExitCode","BuildTimeMs","RunSeconds","RunSentMiB","RunReceivedMiB","RunTotalMiB","AdjustedTotalMiB","RemoteAgentTaskCount","AgentLines","BuildDbMachines","TaskSummary","MaxSendRate","MaxReceiveRate","MaxActiveSlots","MaxActiveMachines","LogPath","StdoutPath","SamplesPath"
"1","56","{55E6C896-28BF-4F2D-AE77-EB8E4D3AC37D}","0","7885","10.147","2.413","0.475","2.889","-0.818","0","","GIH-D-33028","Module.ActionableMessage.cpp@GIH-D-33028:3561ms; Module.ActorPickerMode.cpp@GIH-D-33028:3213ms",,,"1","1","D:\UE\5.8.0r\Engine\Programs\UnrealBuildTool\XGE.SharedPCHEdOnly.MultiRun.20260706-134937.Run1.20260706-134937.log","D:\UE\5.8.0r\Engine\Programs\UnrealBuildTool\XGE.SharedPCHEdOnly.MultiRun.20260706-134937.Run1.20260706-134937.stdout.txt","D:\UE\5.8.0r\Engine\Programs\UnrealBuildTool\XGE.SharedPCHEdOnly.MultiRun.20260706-134937.Run1.20260706-134937.samples.csv"
"2","57","{58C348CF-5DB9-4290-B2F9-A625B385A8D9}","0","8215","10.615","3.741","0.39","4.131","3.042","0","","GIH-D-33028","Module.ActionableMessage.cpp@GIH-D-33028:3732ms; Module.ActorPickerMode.cpp@GIH-D-33028:3419ms","595104","230064","1","1","D:\UE\5.8.0r\Engine\Programs\UnrealBuildTool\XGE.SharedPCHEdOnly.MultiRun.20260706-134937.Run2.20260706-134954.log","D:\UE\5.8.0r\Engine\Programs\UnrealBuildTool\XGE.SharedPCHEdOnly.MultiRun.20260706-134937.Run2.20260706-134954.stdout.txt","D:\UE\5.8.0r\Engine\Programs\UnrealBuildTool\XGE.SharedPCHEdOnly.MultiRun.20260706-134937.Run2.20260706-134954.samples.csv"
"3","58","{9C574C08-EA2E-4F94-9BF0-4F6AC275166A}","0","8234","10.47","1.02","0.209","1.229","0.029","0","","GIH-D-33028","Module.ActionableMessage.cpp@GIH-D-33028:3727ms; Module.ActorPickerMode.cpp@GIH-D-33028:3435ms","1443912","183032","1","1","D:\UE\5.8.0r\Engine\Programs\UnrealBuildTool\XGE.SharedPCHEdOnly.MultiRun.20260706-134937.Run3.20260706-135010.log","D:\UE\5.8.0r\Engine\Programs\UnrealBuildTool\XGE.SharedPCHEdOnly.MultiRun.20260706-134937.Run3.20260706-135010.stdout.txt","D:\UE\5.8.0r\Engine\Programs\UnrealBuildTool\XGE.SharedPCHEdOnly.MultiRun.20260706-134937.Run3.20260706-135010.samples.csv"
"4","59","{601312FD-7850-4F35-9A82-AE5273F71406}","0","16157","18.531","749.007","7.497","756.504","754.605","1","Module.ActorPickerMode.cpp (Agent 'Gih-d-x4947 (Core #1)', 0:14.09 at +0:01)","GIH-D-33028;GIH-D-X4947","Module.ActionableMessage.cpp@GIH-D-33028:3566ms; Module.ActorPickerMode.cpp@GIH-D-X4947:14094ms","607486680","4879088","2","2","D:\UE\5.8.0r\Engine\Programs\UnrealBuildTool\XGE.SharedPCHEdOnly.MultiRun.20260706-134937.Run4.20260706-135027.log","D:\UE\5.8.0r\Engine\Programs\UnrealBuildTool\XGE.SharedPCHEdOnly.MultiRun.20260706-134937.Run4.20260706-135027.stdout.txt","D:\UE\5.8.0r\Engine\Programs\UnrealBuildTool\XGE.SharedPCHEdOnly.MultiRun.20260706-134937.Run4.20260706-135027.samples.csv"
"5","60","{15BAF069-AB21-4B54-B25C-5F3074BF32F3}","0","7787","10.073","1.018","0.19","1.208","-0.243","0","","GIH-D-33028","Module.ActionableMessage.cpp@GIH-D-33028:3474ms; Module.ActorPickerMode.cpp@GIH-D-33028:3185ms",,,"1","1","D:\UE\5.8.0r\Engine\Programs\UnrealBuildTool\XGE.SharedPCHEdOnly.MultiRun.20260706-134937.Run5.20260706-135051.log","D:\UE\5.8.0r\Engine\Programs\UnrealBuildTool\XGE.SharedPCHEdOnly.MultiRun.20260706-134937.Run5.20260706-135051.stdout.txt","D:\UE\5.8.0r\Engine\Programs\UnrealBuildTool\XGE.SharedPCHEdOnly.MultiRun.20260706-134937.Run5.20260706-135051.samples.csv"
